frame_ordinal,pass_index,pass_name,queue,batch_index,is_copy_pass,milliseconds,expected_passes,available_passes,complete
600,0,ASBuild.BuildTLAS,0,0,false,0.128352000,7,7,true
600,1,LightPrepare.Upload,0,0,false,0.006592000,7,7,true
600,2,PathTracing.Trace,0,0,false,0.679424000,7,7,true
600,3,Ui.Overlay,0,0,false,0.028736000,7,7,true
600,4,DLSS.RayReconstruction,1,1,false,1.559680000,7,7,true
600,5,Present.Convert,1,1,false,0.045312000,7,7,true
600,6,Present.CopyToSwapchain,1,2,true,0.024160000,7,7,true
601,0,ASBuild.BuildTLAS,0,0,false,0.121504000,7,7,true
601,1,LightPrepare.Upload,0,0,false,0.001856000,7,7,true
601,2,PathTracing.Trace,0,0,false,0.604352000,7,7,true
601,3,Ui.Overlay,0,0,false,0.012576000,7,7,true
601,4,DLSS.RayReconstruction,1,1,false,1.840928000,7,7,true
601,5,Present.Convert,1,1,false,0.052544000,7,7,true
601,6,Present.CopyToSwapchain,1,2,true,0.023744000,7,7,true
602,0,ASBuild.BuildTLAS,0,0,false,0.118304000,7,7,true
602,1,LightPrepare.Upload,0,0,false,0.002272000,7,7,true
602,2,PathTracing.Trace,0,0,false,0.775872000,7,7,true
602,3,Ui.Overlay,0,0,false,0.018304000,7,7,true
602,4,DLSS.RayReconstruction,1,1,false,1.016768000,7,7,true
602,5,Present.Convert,1,1,false,0.045376000,7,7,true
602,6,Present.CopyToSwapchain,1,2,true,0.023904000,7,7,true
603,0,ASBuild.BuildTLAS,0,0,false,0.108544000,7,7,true
603,1,LightPrepare.Upload,0,0,false,0.002016000,7,7,true
603,2,PathTracing.Trace,0,0,false,0.704480000,7,7,true
603,3,Ui.Overlay,0,0,false,0.016928000,7,7,true
603,4,DLSS.RayReconstruction,1,1,false,2.264160000,7,7,true
603,5,Present.Convert,1,1,false,0.125088000,7,7,true
603,6,Present.CopyToSwapchain,1,2,true,0.028960000,7,7,true
604,0,ASBuild.BuildTLAS,0,0,false,0.439872000,7,7,true
604,1,LightPrepare.Upload,0,0,false,0.002112000,7,7,true
604,2,PathTracing.Trace,0,0,false,0.681824000,7,7,true
604,3,Ui.Overlay,0,0,false,0.021856000,7,7,true
604,4,DLSS.RayReconstruction,1,1,false,1.017248000,7,7,true
604,5,Present.Convert,1,1,false,0.047488000,7,7,true
604,6,Present.CopyToSwapchain,1,2,true,0.023744000,7,7,true
605,0,ASBuild.BuildTLAS,0,0,false,0.129344000,7,7,true
605,1,LightPrepare.Upload,0,0,false,0.002080000,7,7,true
605,2,PathTracing.Trace,0,0,false,0.857952000,7,7,true
605,3,Ui.Overlay,0,0,false,0.018048000,7,7,true
605,4,DLSS.RayReconstruction,1,1,false,2.166752000,7,7,true
605,5,Present.Convert,1,1,false,0.045440000,7,7,true
605,6,Present.CopyToSwapchain,1,2,true,0.021440000,7,7,true
606,0,ASBuild.BuildTLAS,0,0,false,0.108896000,7,7,true
606,1,LightPrepare.Upload,0,0,false,0.001600000,7,7,true
606,2,PathTracing.Trace,0,0,false,0.607680000,7,7,true
606,3,Ui.Overlay,0,0,false,0.013024000,7,7,true
606,4,DLSS.RayReconstruction,1,1,false,1.002816000,7,7,true
606,5,Present.Convert,1,1,false,0.045088000,7,7,true
606,6,Present.CopyToSwapchain,1,2,true,0.024032000,7,7,true
607,0,ASBuild.BuildTLAS,0,0,false,0.160768000,7,7,true
607,1,LightPrepare.Upload,0,0,false,0.002496000,7,7,true
607,2,PathTracing.Trace,0,0,false,0.787872000,7,7,true
607,3,Ui.Overlay,0,0,false,0.032640000,7,7,true
607,4,DLSS.RayReconstruction,1,1,false,1.521408000,7,7,true
607,5,Present.Convert,1,1,false,0.045280000,7,7,true
607,6,Present.CopyToSwapchain,1,2,true,0.023552000,7,7,true
608,0,ASBuild.BuildTLAS,0,0,false,0.122624000,7,7,true
608,1,LightPrepare.Upload,0,0,false,0.002496000,7,7,true
608,2,PathTracing.Trace,0,0,false,0.673216000,7,7,true
608,3,Ui.Overlay,0,0,false,0.013856000,7,7,true
608,4,DLSS.RayReconstruction,1,1,false,2.077568000,7,7,true
608,5,Present.Convert,1,1,false,0.045408000,7,7,true
608,6,Present.CopyToSwapchain,1,2,true,0.023744000,7,7,true
