frame_ordinal,frame_slot,config_revision,display_width,display_height,render_width,render_height,dlss_quality,wait_gpu_ms,frame_setup_ms,scene_ms,build_ms,compile_ms,prepare_ms,execute_ms,present_ms,total_ms,cpu_work_ms,classified_ms,unclassified_ms,scene_begin_upload_ms,scene_raster_extract_ms,scene_tlas_extract_ms,scene_bridge_ms,tlas_texture_collection_ms,post_scene_ms,graph_prelude_ms,ui_collect_ms,node_loop_ms,raster_packets,rt_packets,tlas_packets,submit_batches,record_tasks,node_build_0_ms,node_build_1_ms,node_build_2_ms,node_build_3_ms,node_build_4_ms,node_build_5_ms,as_recorded,as_available,as_cache_scan_ms,as_metadata_plan_ms,as_cpu_writes_ms,as_tlas_sizing_ms,as_graph_declare_ms,as_packets,as_instances,as_dirty_blas
600,0,1,1920,1080,640,360,ultra-performance,0.641800000,0.028900000,0.229200000,0.460800000,0.013800000,0.098800000,0.912700000,0.163400000,2.906300000,2.264500000,2.549400000,0.356900000,0.003600000,0.017200000,0.009800000,0.198400000,0.356000000,0.356200000,0.052800000,0.002900000,0.403300000,84,0,103,3,7,0.132600000,0.003000000,0.179700000,0.045100000,0.010500000,0.032000000,true,true,0.017200000,0.095200000,0.007300000,0.003800000,0.006100000,103,103,0
601,1,1,1920,1080,640,360,ultra-performance,0.001600000,0.027000000,0.161500000,0.458700000,0.014400000,0.098500000,0.710000000,0.148300000,1.792300000,1.790700000,1.620000000,0.172300000,0.003100000,0.016800000,0.009300000,0.131800000,0.171300000,0.171400000,0.052200000,0.002500000,0.402200000,84,0,103,3,7,0.128200000,0.003300000,0.179400000,0.048500000,0.010400000,0.031900000,true,true,0.016500000,0.092500000,0.006900000,0.003600000,0.006100000,103,103,0
602,2,1,1920,1080,640,360,ultra-performance,0.001700000,0.025400000,0.160100000,0.457700000,0.013900000,0.107000000,0.628100000,0.200100000,1.753100000,1.751400000,1.594000000,0.159100000,0.003100000,0.016300000,0.009100000,0.131100000,0.158300000,0.158400000,0.051100000,0.002400000,0.402500000,84,0,103,3,7,0.127100000,0.003200000,0.187300000,0.041800000,0.010400000,0.032300000,true,true,0.016800000,0.091100000,0.007200000,0.003200000,0.006100000,103,103,0
603,0,1,1920,1080,640,360,ultra-performance,0.002300000,0.025800000,0.162600000,0.489300000,0.015500000,0.105700000,0.508100000,0.152100000,1.635400000,1.633100000,1.461400000,0.174000000,0.003500000,0.017100000,0.009700000,0.131900000,0.158000000,0.158100000,0.051700000,0.002400000,0.433000000,84,0,103,3,7,0.127200000,0.003300000,0.182000000,0.068900000,0.012200000,0.038800000,true,true,0.016300000,0.091900000,0.006800000,0.003400000,0.006100000,103,103,0
604,1,1,1920,1080,640,360,ultra-performance,0.858700000,0.039500000,0.337000000,0.502000000,0.013500000,0.103300000,0.426500000,0.156600000,2.772100000,1.913400000,2.437100000,0.335000000,0.005900000,0.033500000,0.019400000,0.277400000,0.333300000,0.333600000,0.106300000,0.004000000,0.389900000,84,0,103,3,7,0.125300000,0.003000000,0.176600000,0.041300000,0.011000000,0.032100000,true,true,0.015800000,0.090800000,0.006300000,0.003400000,0.006200000,103,103,0
605,2,1,1920,1080,640,360,ultra-performance,0.002200000,0.031200000,0.162400000,0.478700000,0.013900000,0.138600000,0.670800000,0.149000000,1.805600000,1.803400000,1.646800000,0.158800000,0.002900000,0.018700000,0.009500000,0.130900000,0.157600000,0.157700000,0.051100000,0.002300000,0.423600000,84,0,103,3,7,0.149400000,0.003400000,0.180700000,0.047200000,0.010600000,0.031900000,true,true,0.015200000,0.108500000,0.008800000,0.004100000,0.007700000,103,103,0
606,0,1,1920,1080,640,360,ultra-performance,0.403200000,0.022300000,0.161100000,0.447300000,0.014200000,0.099500000,0.518400000,0.132500000,1.963800000,1.560600000,1.798500000,0.165300000,0.003100000,0.016400000,0.009800000,0.131400000,0.164100000,0.164300000,0.051400000,0.002400000,0.391800000,84,0,103,3,7,0.124600000,0.003100000,0.178400000,0.042700000,0.011000000,0.031600000,true,true,0.015100000,0.090600000,0.006600000,0.003300000,0.006100000,103,103,0
607,1,1,1920,1080,640,360,ultra-performance,0.115300000,0.022400000,0.160200000,0.435800000,0.012700000,0.091900000,0.638800000,0.137700000,1.775000000,1.659700000,1.614800000,0.160200000,0.002900000,0.015900000,0.009500000,0.131600000,0.158900000,0.159000000,0.050500000,0.002200000,0.381400000,84,0,103,3,7,0.124000000,0.002900000,0.173800000,0.039800000,0.009900000,0.030600000,true,true,0.015600000,0.090000000,0.006700000,0.003200000,0.006000000,103,103,0
608,2,1,1920,1080,640,360,ultra-performance,0.838000000,0.022300000,0.160700000,0.443800000,0.012200000,0.093900000,0.560800000,0.153100000,2.445600000,1.607600000,2.284800000,0.160800000,0.002900000,0.015900000,0.009200000,0.132400000,0.159500000,0.159700000,0.051300000,0.001900000,0.389000000,84,0,103,3,7,0.123700000,0.003100000,0.179900000,0.040100000,0.010800000,0.031000000,true,true,0.015400000,0.089900000,0.007100000,0.003100000,0.005700000,103,103,0
609,0,1,1920,1080,640,360,ultra-performance,0.001700000,0.021100000,0.159200000,0.440400000,0.013200000,0.095900000,0.532400000,0.148700000,1.578700000,1.577000000,1.412600000,0.166100000,0.003300000,0.016000000,0.009000000,0.130600000,0.164800000,0.165000000,0.050400000,0.002300000,0.386100000,84,0,103,3,7,0.124300000,0.003100000,0.174800000,0.041100000,0.011000000,0.031300000,true,true,0.015800000,0.090200000,0.006600000,0.003000000,0.006100000,103,103,0
610,1,1,1920,1080,640,360,ultra-performance,1.021500000,0.024300000,0.158800000,0.442400000,0.012400000,0.092000000,0.590700000,0.150300000,2.650700000,1.629200000,2.492400000,0.158300000,0.003100000,0.015500000,0.009400000,0.130400000,0.157000000,0.157200000,0.051300000,0.002200000,0.387300000,84,0,103,3,7,0.121700000,0.002900000,0.174700000,0.046700000,0.009900000,0.031000000,true,true,0.014700000,0.088900000,0.006400000,0.003100000,0.005900000,103,103,0
611,2,1,1920,1080,640,360,ultra-performance,0.632000000,0.047000000,0.235700000,0.724300000,0.015500000,0.109900000,0.886500000,0.286000000,3.109300000,2.477300000,2.936900000,0.172400000,0.010400000,0.049100000,0.017800000,0.157100000,0.169500000,0.170000000,0.075900000,0.005500000,0.640900000,84,0,103,3,7,0.334500000,0.007200000,0.204800000,0.048500000,0.012000000,0.033100000,true,true,0.067600000,0.222500000,0.013500000,0.007300000,0.016300000,103,103,0
612,0,1,1920,1080,640,360,ultra-performance,0.003400000,0.034000000,0.343300000,0.444500000,0.014600000,0.120900000,0.667600000,0.149400000,1.942200000,1.938800000,1.777700000,0.164500000,0.006400000,0.036200000,0.019700000,0.280400000,0.155500000,0.155600000,0.052700000,0.002800000,0.387500000,84,0,103,3,7,0.126200000,0.003000000,0.174600000,0.040600000,0.010600000,0.031900000,true,true,0.016400000,0.090700000,0.006300000,0.003200000,0.006600000,103,103,0
613,1,1,1920,1080,640,360,ultra-performance,0.001600000,0.023600000,0.164200000,0.858600000,0.030000000,0.169800000,0.696400000,0.146500000,2.248300000,2.246700000,2.090700000,0.157600000,0.003700000,0.019800000,0.009900000,0.130400000,0.156500000,0.156600000,0.051900000,0.002200000,0.799300000,84,0,103,3,7,0.123300000,0.003100000,0.439400000,0.118900000,0.022400000,0.091100000,true,true,0.015600000,0.089600000,0.006100000,0.003100000,0.006100000,103,103,0
614,2,1,1920,1080,640,360,ultra-performance,0.001600000,0.024900000,0.160600000,0.536500000,0.012800000,0.100500000,0.536400000,0.144200000,1.736600000,1.735000000,1.517500000,0.219100000,0.003400000,0.017000000,0.009400000,0.130400000,0.218000000,0.218200000,0.077100000,0.002400000,0.454500000,84,0,103,3,7,0.130800000,0.003100000,0.220700000,0.047600000,0.019000000,0.032700000,true,true,0.021000000,0.090800000,0.006700000,0.003300000,0.006100000,103,103,0
615,0,1,1920,1080,640,360,ultra-performance,0.001600000,0.019300000,0.158700000,0.457100000,0.012300000,0.094300000,0.449000000,0.153700000,1.503800000,1.502200000,1.346000000,0.157800000,0.003000000,0.016600000,0.009200000,0.129600000,0.156400000,0.156500000,0.050500000,0.002100000,0.402800000,84,0,103,3,7,0.137100000,0.003100000,0.180500000,0.040100000,0.010400000,0.031200000,true,true,0.015700000,0.102800000,0.006000000,0.003500000,0.006300000,103,103,0
616,1,1,1920,1080,640,360,ultra-performance,0.368200000,0.042800000,0.243200000,0.579800000,0.014500000,0.100800000,0.556600000,0.148500000,2.234700000,1.866500000,2.054400000,0.180300000,0.007700000,0.030100000,0.015400000,0.189200000,0.178400000,0.178800000,0.068800000,0.003700000,0.505300000,84,0,103,3,7,0.210500000,0.003800000,0.197900000,0.047400000,0.011900000,0.033000000,true,true,0.028000000,0.125800000,0.024100000,0.004200000,0.014400000,103,103,0
617,2,1,1920,1080,640,360,ultra-performance,0.002000000,0.023000000,0.169600000,0.494400000,0.013500000,0.097500000,0.421100000,0.153500000,1.532500000,1.530500000,1.374600000,0.157900000,0.003800000,0.020300000,0.011500000,0.133400000,0.157000000,0.157100000,0.052100000,0.002700000,0.436900000,84,0,103,3,7,0.129900000,0.003100000,0.212400000,0.047000000,0.011800000,0.032000000,true,true,0.017000000,0.093700000,0.007200000,0.003000000,0.006400000,103,103,0
618,0,1,1920,1080,640,360,ultra-performance,0.938900000,0.025800000,0.164100000,0.458900000,0.013700000,0.125000000,0.704800000,0.264700000,2.854600000,1.915700000,2.695900000,0.158700000,0.004500000,0.017600000,0.010600000,0.131000000,0.156600000,0.156800000,0.059300000,0.003300000,0.394600000,84,0,103,3,7,0.128000000,0.002900000,0.175900000,0.044300000,0.011500000,0.031700000,true,true,0.017000000,0.091900000,0.006900000,0.003500000,0.005900000,103,103,0
619,1,1,1920,1080,640,360,ultra-performance,0.435300000,0.027900000,0.161200000,0.447200000,0.012300000,0.102800000,0.438500000,0.212700000,1.994200000,1.558900000,1.837900000,0.156300000,0.003800000,0.017500000,0.010200000,0.129400000,0.155000000,0.155100000,0.051900000,0.002500000,0.391100000,84,0,103,3,7,0.125300000,0.003000000,0.176400000,0.043500000,0.010900000,0.031400000,true,true,0.016000000,0.090400000,0.006800000,0.003100000,0.006200000,103,103,0
620,2,1,1920,1080,640,360,ultra-performance,0.342600000,0.024500000,0.157800000,0.473600000,0.013100000,0.095200000,0.498200000,0.159600000,1.921500000,1.578900000,1.764600000,0.156900000,0.002600000,0.016800000,0.009200000,0.128800000,0.155800000,0.155900000,0.072900000,0.003000000,0.396000000,84,0,103,3,7,0.132600000,0.003200000,0.175500000,0.042900000,0.010400000,0.030900000,true,true,0.016100000,0.095600000,0.007000000,0.003900000,0.006700000,103,103,0
621,0,1,1920,1080,640,360,ultra-performance,0.605400000,0.013200000,0.151400000,0.430500000,0.011300000,0.094300000,0.747400000,0.142200000,2.355500000,1.750100000,2.195700000,0.159800000,0.001800000,0.013600000,0.008200000,0.127600000,0.155400000,0.155600000,0.048800000,0.002600000,0.377500000,84,0,103,3,7,0.121500000,0.002800000,0.172600000,0.039600000,0.009900000,0.030800000,true,true,0.015400000,0.088900000,0.006200000,0.002700000,0.005700000,103,103,0
622,1,1,1920,1080,640,360,ultra-performance,0.169100000,0.025400000,0.163300000,0.477300000,0.012300000,0.092800000,0.594700000,0.152500000,1.845600000,1.676500000,1.687400000,0.158200000,0.003700000,0.019000000,0.009800000,0.130600000,0.156800000,0.156900000,0.051500000,0.002500000,0.421700000,84,0,103,3,7,0.152100000,0.003700000,0.179200000,0.044400000,0.010400000,0.031400000,true,true,0.014800000,0.111200000,0.009300000,0.004200000,0.007600000,103,103,0
623,2,1,1920,1080,640,360,ultra-performance,0.774900000,0.022300000,0.382600000,0.746100000,0.012700000,0.121500000,0.580800000,0.166100000,3.192800000,2.417900000,2.807000000,0.385800000,0.003000000,0.016900000,0.009300000,0.352800000,0.384500000,0.384800000,0.111000000,0.004600000,0.628600000,84,0,103,3,7,0.262100000,0.003800000,0.251100000,0.055800000,0.014000000,0.040600000,true,true,0.032300000,0.204700000,0.008400000,0.004400000,0.008100000,103,103,0
624,0,1,1920,1080,640,360,ultra-performance,0.001700000,0.020900000,0.159400000,0.441600000,0.012200000,0.107000000,0.655600000,0.159800000,1.727100000,1.725400000,1.558200000,0.168900000,0.003000000,0.016200000,0.009900000,0.129900000,0.166800000,0.166900000,0.051200000,0.002000000,0.386900000,84,0,103,3,7,0.124500000,0.003000000,0.175300000,0.041400000,0.010900000,0.031100000,true,true,0.015200000,0.090600000,0.006400000,0.003500000,0.006000000,103,103,0
625,1,1,1920,1080,640,360,ultra-performance,0.001500000,0.022100000,0.158100000,0.554400000,0.012500000,0.092800000,0.659800000,0.141500000,1.799300000,1.797800000,1.642700000,0.156600000,0.003000000,0.015900000,0.009500000,0.129400000,0.155400000,0.155500000,0.136400000,0.002500000,0.413800000,84,0,103,3,7,0.147800000,0.004600000,0.178000000,0.040800000,0.010900000,0.031200000,true,true,0.020900000,0.103700000,0.008000000,0.003400000,0.008000000,103,103,0
626,2,1,1920,1080,640,360,ultra-performance,0.001700000,0.021400000,0.155600000,0.494800000,0.012100000,0.093700000,0.591100000,0.143900000,1.669200000,1.667500000,1.514300000,0.154900000,0.003100000,0.016100000,0.009000000,0.127200000,0.153900000,0.153900000,0.049100000,0.002000000,0.442000000,84,0,103,3,7,0.122000000,0.003000000,0.234900000,0.040300000,0.010000000,0.031100000,true,true,0.015400000,0.088500000,0.006400000,0.003000000,0.006100000,103,103,0
627,0,1,1920,1080,640,360,ultra-performance,0.614900000,0.051900000,0.278700000,0.689600000,0.012800000,0.093100000,0.833700000,0.145000000,2.993000000,2.378100000,2.719700000,0.273300000,0.003000000,0.016200000,0.008900000,0.250000000,0.271900000,0.272100000,0.124800000,0.002300000,0.560700000,84,0,103,3,7,0.122600000,0.003000000,0.278900000,0.041800000,0.010100000,0.103600000,true,true,0.015700000,0.088700000,0.006300000,0.003200000,0.006000000,103,103,0
628,1,1,1920,1080,640,360,ultra-performance,0.001700000,0.020900000,0.159800000,0.470200000,0.015300000,0.098700000,0.453300000,0.145100000,1.536000000,1.534300000,1.365000000,0.171000000,0.003000000,0.016800000,0.009700000,0.130000000,0.170000000,0.170100000,0.052400000,0.002500000,0.412600000,84,0,103,3,7,0.124800000,0.003000000,0.173800000,0.041200000,0.010300000,0.058900000,true,true,0.016000000,0.089700000,0.006800000,0.003500000,0.006100000,103,103,0
629,2,1,1920,1080,640,360,ultra-performance,0.001700000,0.022500000,0.158700000,0.436400000,0.011800000,0.092200000,0.581100000,0.150100000,1.612800000,1.611100000,1.454500000,0.158300000,0.002800000,0.016100000,0.009000000,0.130400000,0.157200000,0.157400000,0.050900000,0.002300000,0.381600000,84,0,103,3,7,0.122600000,0.003100000,0.173500000,0.040200000,0.010500000,0.031100000,true,true,0.015200000,0.088900000,0.006500000,0.003200000,0.006100000,103,103,0
630,0,1,1920,1080,640,360,ultra-performance,0.587000000,0.024800000,0.160200000,0.454000000,0.012600000,0.096500000,0.582800000,0.145200000,2.239200000,1.652200000,2.063100000,0.176100000,0.003300000,0.016400000,0.009300000,0.130800000,0.171100000,0.171200000,0.051200000,0.002400000,0.398600000,84,0,103,3,7,0.125100000,0.003000000,0.184800000,0.043200000,0.010600000,0.031300000,true,true,0.015400000,0.090800000,0.006200000,0.003500000,0.006200000,103,103,0
631,1,1,1920,1080,640,360,ultra-performance,0.586500000,0.024100000,0.160600000,0.440500000,0.012200000,0.093500000,0.527400000,0.155100000,2.157400000,1.570900000,1.999900000,0.157500000,0.003400000,0.016300000,0.009700000,0.130700000,0.156600000,0.156700000,0.050400000,0.002200000,0.386200000,84,0,103,3,7,0.123200000,0.003000000,0.175200000,0.042600000,0.010300000,0.031300000,true,true,0.015600000,0.089700000,0.005800000,0.003300000,0.006100000,103,103,0
632,2,1,1920,1080,640,360,ultra-performance,0.001600000,0.020000000,0.158800000,0.443100000,0.011800000,0.092700000,0.441400000,0.153800000,1.480600000,1.479000000,1.323200000,0.157400000,0.002700000,0.017400000,0.008900000,0.129300000,0.156100000,0.156100000,0.048900000,0.002300000,0.390100000,84,0,103,3,7,0.122100000,0.003100000,0.184800000,0.038900000,0.009900000,0.030900000,true,true,0.015200000,0.088700000,0.006800000,0.002900000,0.005800000,103,103,0
