frame_ordinal,frame_slot,config_revision,display_width,display_height,render_width,render_height,dlss_quality,wait_gpu_ms,frame_setup_ms,scene_ms,build_ms,compile_ms,prepare_ms,execute_ms,present_ms,total_ms,cpu_work_ms,classified_ms,unclassified_ms,scene_begin_upload_ms,scene_raster_extract_ms,scene_tlas_extract_ms,scene_bridge_ms,tlas_texture_collection_ms,post_scene_ms,graph_prelude_ms,ui_collect_ms,node_loop_ms,raster_packets,rt_packets,tlas_packets,submit_batches,record_tasks,execute_executor_setup_ms,execute_completed_gpu_timing_readback_ms,execute_timing_setup_ms,execute_per_frame_lookup_ms,execute_swapchain_acquire_ms,execute_deferred_prepare_ms,execute_task_plan_launch_ms,execute_primary_record_before_collect_ms,execute_record_completion_wait_ms,execute_primary_replay_barrier_timestamp_ms,execute_primary_end_and_submit_build_ms,execute_queue_submit_ms,execute_initial_release_record_submit_ms,execute_synthetic_present_record_submit_ms,execute_finalization_ms,execute_accounted_main_thread_ms,execute_unclassified_ms,execute_compiled_batches,execute_acquire_batches,execute_record_tasks,execute_replayed_secondary_command_buffers,execute_queue_submits,node_build_0_ms,node_build_1_ms,node_build_2_ms,node_build_3_ms,node_build_4_ms,node_build_5_ms,as_recorded,as_available,as_cache_scan_ms,as_metadata_plan_ms,as_cpu_writes_ms,as_tlas_sizing_ms,as_graph_declare_ms,as_packets,as_instances,as_dirty_blas
600,0,1,1920,1080,640,360,ultra-performance,0.001700000,0.025200000,0.334900000,1.086600000,0.016700000,0.185100000,1.022700000,0.197500000,3.240300000,3.238600000,2.870400000,0.369900000,0.003400000,0.024100000,0.014600000,0.292400000,0.368300000,0.368400000,0.088000000,0.003100000,0.992700000,84,0,103,3,7,0.001800000,0.003200000,0.001800000,0.004400000,0.005700000,0.001100000,0.704400000,0.018900000,0.108000000,0.014800000,0.006000000,0.138800000,0.000100000,0.000000000,0.005400000,1.014400000,0.008300000,3,1,7,7,3,,0.208900000,0.004200000,0.657400000,0.055100000,0.015600000,0.051000000,true,true,0.022900000,0.160300000,0.008000000,0.004100000,0.009000000,103,103,0
601,1,1,1920,1080,640,360,ultra-performance,0.002000000,0.024300000,0.185900000,0.528000000,0.015900000,0.105100000,0.881400000,0.622600000,2.535600000,2.533600000,2.365200000,0.170400000,0.003900000,0.021200000,0.012800000,0.147400000,0.168200000,0.168300000,0.059400000,0.003000000,0.463400000,84,0,103,3,7,0.001300000,0.002500000,0.001200000,0.003400000,0.005400000,0.000900000,0.611000000,0.026300000,0.077700000,0.015300000,0.008000000,0.111200000,0.000000000,0.000000000,0.006200000,0.870400000,0.011000000,3,1,7,7,3,,0.154800000,0.003600000,0.207400000,0.050000000,0.011900000,0.035100000,true,true,0.018800000,0.113500000,0.008400000,0.003400000,0.007300000,103,103,0
602,2,1,1920,1080,640,360,ultra-performance,0.002500000,0.030500000,0.501400000,1.013500000,0.019900000,0.232100000,1.011100000,0.195100000,3.285900000,3.283400000,3.006100000,0.279800000,0.004900000,0.029000000,0.016800000,0.450100000,0.277800000,0.278100000,0.091800000,0.004200000,0.914800000,84,0,103,3,7,0.001600000,0.003200000,0.001700000,0.004200000,0.006400000,0.001200000,0.650900000,0.022500000,0.112700000,0.022000000,0.006800000,0.163600000,0.000000000,0.000000000,0.005200000,1.002000000,0.009100000,3,1,7,7,3,,0.352200000,0.004600000,0.425500000,0.063000000,0.015900000,0.053100000,true,true,0.035700000,0.227500000,0.069500000,0.004400000,0.010200000,103,103,0
603,0,1,1920,1080,640,360,ultra-performance,0.002600000,0.025200000,0.184100000,0.714400000,0.020800000,0.153900000,1.093500000,0.185800000,2.609600000,2.607000000,2.380300000,0.229300000,0.003600000,0.021300000,0.012100000,0.146400000,0.204100000,0.204200000,0.078400000,0.003200000,0.630000000,84,0,103,3,7,0.002200000,0.003400000,0.001800000,0.004800000,0.004400000,0.001300000,0.882900000,0.024100000,0.003300000,0.011000000,0.005900000,0.135200000,0.000100000,0.000000000,0.007000000,1.087400000,0.006100000,3,1,7,7,3,,0.165800000,0.003300000,0.318000000,0.068400000,0.017400000,0.056400000,true,true,0.019500000,0.113000000,0.014500000,0.005900000,0.009400000,103,103,0
604,1,1,1920,1080,640,360,ultra-performance,0.001900000,0.019400000,0.175400000,0.485400000,0.012800000,0.136700000,1.020500000,0.191500000,2.218400000,2.216500000,2.043600000,0.174800000,0.003100000,0.017600000,0.011500000,0.142700000,0.172600000,0.172700000,0.055700000,0.002200000,0.425600000,84,0,103,3,7,0.001500000,0.003300000,0.001700000,0.003800000,0.003100000,0.000800000,0.685600000,0.026200000,0.030900000,0.022600000,0.010100000,0.216500000,0.000000000,0.000000000,0.005600000,1.011700000,0.008800000,3,1,7,7,3,,0.140700000,0.003300000,0.191700000,0.043300000,0.011900000,0.034400000,true,true,0.017300000,0.103000000,0.007200000,0.003400000,0.006600000,103,103,0
605,2,1,1920,1080,640,360,ultra-performance,0.002200000,0.032200000,0.209700000,0.513900000,0.015200000,0.108500000,0.744200000,0.245800000,2.042700000,2.040500000,1.871700000,0.171000000,0.006300000,0.029200000,0.013300000,0.160500000,0.167900000,0.168100000,0.057000000,0.003100000,0.452100000,84,0,103,3,7,0.001500000,0.002700000,0.001400000,0.003400000,0.004300000,0.000900000,0.550100000,0.019400000,0.035600000,0.011900000,0.005900000,0.091400000,0.000000000,0.000000000,0.007000000,0.735500000,0.008700000,3,1,7,7,3,,0.149100000,0.004000000,0.198300000,0.053000000,0.012600000,0.034700000,true,true,0.026000000,0.100100000,0.008700000,0.003900000,0.007300000,103,103,0
606,0,1,1920,1080,640,360,ultra-performance,0.002100000,0.022500000,0.187700000,0.517500000,0.015100000,0.109300000,0.912100000,0.307500000,2.243400000,2.241300000,2.073800000,0.169600000,0.003600000,0.020100000,0.013000000,0.150200000,0.167100000,0.167200000,0.059100000,0.002600000,0.454100000,84,0,103,3,7,0.001300000,0.002600000,0.001100000,0.003800000,0.006300000,0.001300000,0.567600000,0.021900000,0.116200000,0.010200000,0.005900000,0.158900000,0.000000000,0.000000000,0.008100000,0.905200000,0.006900000,3,1,7,7,3,,0.147700000,0.003300000,0.205800000,0.049200000,0.012600000,0.035000000,true,true,0.018600000,0.106200000,0.008500000,0.003600000,0.007500000,103,103,0
607,1,1,1920,1080,640,360,ultra-performance,0.001800000,0.020000000,0.172900000,0.480300000,0.012000000,0.101600000,0.741600000,0.259000000,1.961300000,1.959500000,1.789200000,0.172100000,0.003100000,0.017200000,0.009800000,0.142500000,0.170300000,0.170400000,0.058900000,0.002100000,0.417500000,84,0,103,3,7,0.001200000,0.002500000,0.001300000,0.003500000,0.003600000,0.000600000,0.524400000,0.023400000,0.048100000,0.010600000,0.005400000,0.105200000,0.000000000,0.000000000,0.006200000,0.736000000,0.005600000,3,1,7,7,3,,0.141600000,0.003200000,0.184900000,0.042400000,0.011200000,0.033700000,true,true,0.017200000,0.105300000,0.006500000,0.002900000,0.006500000,103,103,0
608,2,1,1920,1080,640,360,ultra-performance,0.002200000,0.020300000,0.168600000,0.460500000,0.011600000,0.096100000,0.856800000,0.296000000,2.079700000,2.077500000,1.912100000,0.167600000,0.002800000,0.016600000,0.010700000,0.138000000,0.165500000,0.165700000,0.054400000,0.002000000,0.402300000,84,0,103,3,7,0.001100000,0.002200000,0.001100000,0.003000000,0.005900000,0.001300000,0.553400000,0.020900000,0.050800000,0.010900000,0.005600000,0.186600000,0.000000000,0.000000000,0.007600000,0.850400000,0.006400000,3,1,7,7,3,,0.138400000,0.002800000,0.180100000,0.038000000,0.010700000,0.031900000,true,true,0.022600000,0.097100000,0.007200000,0.002700000,0.006000000,103,103,0
609,0,1,1920,1080,640,360,ultra-performance,0.002100000,0.015200000,0.167800000,0.500100000,0.011400000,0.098200000,0.947600000,0.218100000,2.131300000,2.129200000,1.960500000,0.170800000,0.002800000,0.016500000,0.009600000,0.138500000,0.167900000,0.168000000,0.053600000,0.002000000,0.442600000,84,0,103,3,7,0.001200000,0.002300000,0.001000000,0.003200000,0.003600000,0.001200000,0.601500000,0.021700000,0.074800000,0.017600000,0.008900000,0.190600000,0.000000000,0.000000000,0.008800000,0.936400000,0.011200000,3,1,7,7,3,,0.129000000,0.002800000,0.225100000,0.040600000,0.011200000,0.033400000,true,true,0.016200000,0.094700000,0.005800000,0.003200000,0.006100000,103,103,0
