frame_ordinal,pass_index,pass_name,queue,batch_index,is_copy_pass,milliseconds,expected_passes,available_passes,complete
600,0,ASBuild.BuildTLAS,0,0,false,0.091488000,7,7,true
600,1,LightPrepare.Upload,0,0,false,0.001760000,7,7,true
600,2,PathTracing.Trace,0,0,false,0.604416000,7,7,true
600,3,Ui.Overlay,0,0,false,0.012224000,7,7,true
600,4,DLSS.RayReconstruction,1,1,false,0.999872000,7,7,true
600,5,Present.Convert,1,1,false,0.050496000,7,7,true
600,6,Present.CopyToSwapchain,1,2,true,0.022432000,7,7,true
601,0,ASBuild.BuildTLAS,0,0,false,0.091136000,7,7,true
601,1,LightPrepare.Upload,0,0,false,0.001664000,7,7,true
601,2,PathTracing.Trace,0,0,false,0.603520000,7,7,true
601,3,Ui.Overlay,0,0,false,0.012512000,7,7,true
601,4,DLSS.RayReconstruction,1,1,false,1.143840000,7,7,true
601,5,Present.Convert,1,1,false,0.050432000,7,7,true
601,6,Present.CopyToSwapchain,1,2,true,0.023968000,7,7,true
602,0,ASBuild.BuildTLAS,0,0,false,0.093280000,7,7,true
602,1,LightPrepare.Upload,0,0,false,0.001664000,7,7,true
602,2,PathTracing.Trace,0,0,false,0.587136000,7,7,true
602,3,Ui.Overlay,0,0,false,0.012480000,7,7,true
602,4,DLSS.RayReconstruction,1,1,false,0.978912000,7,7,true
602,5,Present.Convert,1,1,false,0.050400000,7,7,true
602,6,Present.CopyToSwapchain,1,2,true,0.029856000,7,7,true
603,0,ASBuild.BuildTLAS,0,0,false,0.091392000,7,7,true
603,1,LightPrepare.Upload,0,0,false,0.001632000,7,7,true
603,2,PathTracing.Trace,0,0,false,0.589216000,7,7,true
603,3,Ui.Overlay,0,0,false,0.012864000,7,7,true
603,4,DLSS.RayReconstruction,1,1,false,0.997088000,7,7,true
603,5,Present.Convert,1,1,false,0.051680000,7,7,true
603,6,Present.CopyToSwapchain,1,2,true,0.023872000,7,7,true
604,0,ASBuild.BuildTLAS,0,0,false,0.091424000,7,7,true
604,1,LightPrepare.Upload,0,0,false,0.001632000,7,7,true
604,2,PathTracing.Trace,0,0,false,0.593312000,7,7,true
604,3,Ui.Overlay,0,0,false,0.012544000,7,7,true
604,4,DLSS.RayReconstruction,1,1,false,0.989408000,7,7,true
604,5,Present.Convert,1,1,false,0.236960000,7,7,true
604,6,Present.CopyToSwapchain,1,2,true,0.295520000,7,7,true
605,0,ASBuild.BuildTLAS,0,0,false,0.127936000,7,7,true
605,1,LightPrepare.Upload,0,0,false,0.001824000,7,7,true
605,2,PathTracing.Trace,0,0,false,0.647328000,7,7,true
605,3,Ui.Overlay,0,0,false,0.012416000,7,7,true
605,4,DLSS.RayReconstruction,1,1,false,1.000096000,7,7,true
605,5,Present.Convert,1,1,false,0.047424000,7,7,true
605,6,Present.CopyToSwapchain,1,2,true,0.025408000,7,7,true
606,0,ASBuild.BuildTLAS,0,0,false,0.127104000,7,7,true
606,1,LightPrepare.Upload,0,0,false,0.005824000,7,7,true
606,2,PathTracing.Trace,0,0,false,0.577184000,7,7,true
606,3,Ui.Overlay,0,0,false,0.012576000,7,7,true
606,4,DLSS.RayReconstruction,1,1,false,0.986688000,7,7,true
606,5,Present.Convert,1,1,false,0.047136000,7,7,true
606,6,Present.CopyToSwapchain,1,2,true,0.027040000,7,7,true
607,0,ASBuild.BuildTLAS,0,0,false,0.124448000,7,7,true
607,1,LightPrepare.Upload,0,0,false,0.004448000,7,7,true
607,2,PathTracing.Trace,0,0,false,0.573024000,7,7,true
607,3,Ui.Overlay,0,0,false,0.012256000,7,7,true
607,4,DLSS.RayReconstruction,1,1,false,0.995520000,7,7,true
607,5,Present.Convert,1,1,false,0.049472000,7,7,true
607,6,Present.CopyToSwapchain,1,2,true,0.022880000,7,7,true
608,0,ASBuild.BuildTLAS,0,0,false,0.114784000,7,7,true
608,1,LightPrepare.Upload,0,0,false,0.001760000,7,7,true
608,2,PathTracing.Trace,0,0,false,0.566592000,7,7,true
608,3,Ui.Overlay,0,0,false,0.012320000,7,7,true
608,4,DLSS.RayReconstruction,1,1,false,0.979776000,7,7,true
608,5,Present.Convert,1,1,false,0.052576000,7,7,true
608,6,Present.CopyToSwapchain,1,2,true,0.023968000,7,7,true
609,0,ASBuild.BuildTLAS,0,0,false,0.091072000,7,7,true
609,1,LightPrepare.Upload,0,0,false,0.001632000,7,7,true
609,2,PathTracing.Trace,0,0,false,0.597376000,7,7,true
609,3,Ui.Overlay,0,0,false,0.012416000,7,7,true
609,4,DLSS.RayReconstruction,1,1,false,1.007616000,7,7,true
609,5,Present.Convert,1,1,false,0.051712000,7,7,true
609,6,Present.CopyToSwapchain,1,2,true,0.210336000,7,7,true
610,0,ASBuild.BuildTLAS,0,0,false,0.129952000,7,7,true
610,1,LightPrepare.Upload,0,0,false,0.005248000,7,7,true
610,2,PathTracing.Trace,0,0,false,0.588576000,7,7,true
610,3,Ui.Overlay,0,0,false,0.012160000,7,7,true
610,4,DLSS.RayReconstruction,1,1,false,1.329248000,7,7,true
610,5,Present.Convert,1,1,false,0.188160000,7,7,true
610,6,Present.CopyToSwapchain,1,2,true,0.033920000,7,7,true
611,0,ASBuild.BuildTLAS,0,0,false,0.128128000,7,7,true
611,1,LightPrepare.Upload,0,0,false,0.002112000,7,7,true
611,2,PathTracing.Trace,0,0,false,0.663424000,7,7,true
611,3,Ui.Overlay,0,0,false,0.012480000,7,7,true
611,4,DLSS.RayReconstruction,1,1,false,0.999616000,7,7,true
611,5,Present.Convert,1,1,false,0.047872000,7,7,true
611,6,Present.CopyToSwapchain,1,2,true,0.027808000,7,7,true
612,0,ASBuild.BuildTLAS,0,0,false,0.100608000,7,7,true
612,1,LightPrepare.Upload,0,0,false,0.001568000,7,7,true
612,2,PathTracing.Trace,0,0,false,0.564672000,7,7,true
612,3,Ui.Overlay,0,0,false,0.012320000,7,7,true
612,4,DLSS.RayReconstruction,1,1,false,1.462656000,7,7,true
612,5,Present.Convert,1,1,false,0.050784000,7,7,true
612,6,Present.CopyToSwapchain,1,2,true,0.024032000,7,7,true
613,0,ASBuild.BuildTLAS,0,0,false,0.129056000,7,7,true
613,1,LightPrepare.Upload,0,0,false,0.002368000,7,7,true
613,2,PathTracing.Trace,0,0,false,0.636512000,7,7,true
613,3,Ui.Overlay,0,0,false,0.022528000,7,7,true
613,4,DLSS.RayReconstruction,1,1,false,1.700160000,7,7,true
613,5,Present.Convert,1,1,false,0.051872000,7,7,true
613,6,Present.CopyToSwapchain,1,2,true,0.024960000,7,7,true
614,0,ASBuild.BuildTLAS,0,0,false,0.103072000,7,7,true
614,1,LightPrepare.Upload,0,0,false,0.006528000,7,7,true
614,2,PathTracing.Trace,0,0,false,0.814624000,7,7,true
614,3,Ui.Overlay,0,0,false,0.029920000,7,7,true
614,4,DLSS.RayReconstruction,1,1,false,1.489056000,7,7,true
614,5,Present.Convert,1,1,false,0.048480000,7,7,true
614,6,Present.CopyToSwapchain,1,2,true,0.023968000,7,7,true
615,0,ASBuild.BuildTLAS,0,0,false,0.106848000,7,7,true
615,1,LightPrepare.Upload,0,0,false,0.001984000,7,7,true
615,2,PathTracing.Trace,0,0,false,0.722944000,7,7,true
615,3,Ui.Overlay,0,0,false,0.018208000,7,7,true
615,4,DLSS.RayReconstruction,1,1,false,1.496832000,7,7,true
615,5,Present.Convert,1,1,false,0.052512000,7,7,true
615,6,Present.CopyToSwapchain,1,2,true,0.025280000,7,7,true
616,0,ASBuild.BuildTLAS,0,0,false,0.131584000,7,7,true
616,1,LightPrepare.Upload,0,0,false,0.002080000,7,7,true
616,2,PathTracing.Trace,0,0,false,0.696224000,7,7,true
616,3,Ui.Overlay,0,0,false,0.025248000,7,7,true
616,4,DLSS.RayReconstruction,1,1,false,1.465760000,7,7,true
616,5,Present.Convert,1,1,false,0.050464000,7,7,true
616,6,Present.CopyToSwapchain,1,2,true,0.024096000,7,7,true
617,0,ASBuild.BuildTLAS,0,0,false,0.112672000,7,7,true
617,1,LightPrepare.Upload,0,0,false,0.001952000,7,7,true
617,2,PathTracing.Trace,0,0,false,0.708608000,7,7,true
617,3,Ui.Overlay,0,0,false,0.014624000,7,7,true
617,4,DLSS.RayReconstruction,1,1,false,1.667328000,7,7,true
617,5,Present.Convert,1,1,false,0.053888000,7,7,true
617,6,Present.CopyToSwapchain,1,2,true,0.028704000,7,7,true
618,0,ASBuild.BuildTLAS,0,0,false,0.096288000,7,7,true
618,1,LightPrepare.Upload,0,0,false,0.002016000,7,7,true
618,2,PathTracing.Trace,0,0,false,0.661472000,7,7,true
618,3,Ui.Overlay,0,0,false,0.020480000,7,7,true
618,4,DLSS.RayReconstruction,1,1,false,1.509312000,7,7,true
618,5,Present.Convert,1,1,false,0.050656000,7,7,true
618,6,Present.CopyToSwapchain,1,2,true,0.024192000,7,7,true
619,0,ASBuild.BuildTLAS,0,0,false,0.094624000,7,7,true
619,1,LightPrepare.Upload,0,0,false,0.001952000,7,7,true
619,2,PathTracing.Trace,0,0,false,0.757792000,7,7,true
619,3,Ui.Overlay,0,0,false,0.021824000,7,7,true
619,4,DLSS.RayReconstruction,1,1,false,1.512736000,7,7,true
619,5,Present.Convert,1,1,false,0.050528000,7,7,true
619,6,Present.CopyToSwapchain,1,2,true,0.023936000,7,7,true
620,0,ASBuild.BuildTLAS,0,0,false,0.101024000,7,7,true
620,1,LightPrepare.Upload,0,0,false,0.001792000,7,7,true
620,2,PathTracing.Trace,0,0,false,0.721088000,7,7,true
620,3,Ui.Overlay,0,0,false,0.019072000,7,7,true
620,4,DLSS.RayReconstruction,1,1,false,1.473408000,7,7,true
620,5,Present.Convert,1,1,false,0.047360000,7,7,true
620,6,Present.CopyToSwapchain,1,2,true,0.024000000,7,7,true
621,0,ASBuild.BuildTLAS,0,0,false,0.122464000,7,7,true
621,1,LightPrepare.Upload,0,0,false,0.002112000,7,7,true
621,2,PathTracing.Trace,0,0,false,0.642912000,7,7,true
621,3,Ui.Overlay,0,0,false,0.022464000,7,7,true
621,4,DLSS.RayReconstruction,1,1,false,1.697088000,7,7,true
621,5,Present.Convert,1,1,false,0.046976000,7,7,true
