frame_ordinal,frame_slot,config_revision,display_width,display_height,render_width,render_height,dlss_quality,wait_gpu_ms,frame_setup_ms,scene_ms,post_scene_ms,build_ms,compile_ms,prepare_ms,execute_ms,present_ms,total_ms,cpu_work_ms,classified_ms,unclassified_ms,scene_begin_upload_ms,scene_raster_extract_ms,scene_tlas_extract_ms,scene_bridge_ms,tlas_texture_collection_ms,graph_prelude_ms,ui_collect_ms,node_loop_ms,skeleton_patch_ms,skeleton_rebuild_ms,skeleton_hit,skeleton_miss_reason,raster_packets,rt_packets,tlas_packets,submit_batches,record_tasks,execute_executor_setup_ms,execute_completed_gpu_timing_readback_ms,execute_timing_setup_ms,execute_per_frame_lookup_ms,execute_swapchain_acquire_ms,execute_deferred_prepare_ms,execute_task_plan_launch_ms,execute_primary_record_before_collect_ms,execute_record_completion_wait_ms,execute_primary_replay_barrier_timestamp_ms,execute_primary_end_and_submit_build_ms,execute_queue_submit_ms,execute_initial_release_record_submit_ms,execute_synthetic_present_record_submit_ms,execute_finalization_ms,execute_accounted_main_thread_ms,execute_unclassified_ms,execute_compiled_batches,execute_acquire_batches,execute_record_tasks,execute_replayed_secondary_command_buffers,execute_queue_submits,node_build_0_ms,node_build_1_ms,node_build_2_ms,node_build_3_ms,node_build_4_ms,node_build_5_ms,as_recorded,as_available,as_cache_scan_ms,as_metadata_plan_ms,as_cpu_writes_ms,as_tlas_sizing_ms,as_graph_declare_ms,as_packets,as_instances,as_dirty_blas
600,0,1,1920,1080,640,360,ultra-performance,0.595100000,0.018800000,0.179300000,0.002500000,0.230000000,0.022000000,0.114900000,0.517900000,0.145400000,1.826700000,1.231600000,1.825900000,0.000800000,0.002700000,0.017100000,0.009900000,0.149100000,0.002200000,0.052000000,0.002100000,0.000000000,0.078400000,0.000000000,true,none,84,0,103,3,7,0.004600000,0.002400000,0.001000000,0.006300000,0.002300000,0.000600000,0.382200000,0.011200000,0.006300000,0.008300000,0.004300000,0.061800000,0.000000000,0.000000000,0.013000000,0.504300000,0.013600000,3,1,7,7,3,0.017000000,0.001900000,0.026200000,0.009500000,0.007500000,0.004600000,true,true,0.012000000,0.020200000,0.001300000,0.003800000,0.000000000,0,103,0
601,1,1,1920,1080,640,360,ultra-performance,1.019800000,0.037500000,0.400200000,0.005500000,0.302800000,0.022000000,0.120600000,0.528400000,0.144200000,2.581900000,1.562100000,2.581000000,0.000900000,0.005700000,0.038200000,0.021400000,0.333900000,0.004900000,0.115800000,0.004900000,0.000000000,0.080000000,0.000000000,true,none,84,0,103,3,7,0.005100000,0.002700000,0.001200000,0.006300000,0.002500000,0.000300000,0.347600000,0.011400000,0.058600000,0.007100000,0.004400000,0.060500000,0.000100000,0.000000000,0.012100000,0.519900000,0.008500000,3,1,7,7,3,0.017200000,0.002000000,0.025500000,0.009600000,0.008000000,0.004700000,true,true,0.014500000,0.021000000,0.001200000,0.003300000,0.000000000,0,103,0
602,2,1,1920,1080,640,360,ultra-performance,0.479700000,0.019000000,0.187800000,0.003000000,0.242700000,0.020900000,0.116600000,0.612700000,0.143500000,1.826700000,1.347000000,1.825900000,0.000800000,0.002900000,0.017800000,0.009500000,0.157000000,0.002800000,0.054500000,0.002100000,0.000000000,0.080600000,0.000000000,true,none,84,0,103,3,7,0.004300000,0.002700000,0.001200000,0.006400000,0.002900000,0.000300000,0.394700000,0.011700000,0.042000000,0.007400000,0.004700000,0.111300000,0.000100000,0.000000000,0.012500000,0.602200000,0.010500000,3,1,7,7,3,0.017500000,0.002000000,0.027500000,0.009100000,0.008000000,0.004700000,true,true,0.011900000,0.021200000,0.001200000,0.003400000,0.000000000,0,103,0
603,0,1,1920,1080,640,360,ultra-performance,1.282200000,0.021400000,0.194900000,0.002800000,0.236900000,0.022100000,0.118500000,0.737200000,0.144900000,2.778800000,1.496600000,2.760900000,0.017900000,0.002700000,0.017600000,0.009500000,0.164600000,0.002600000,0.054600000,0.002100000,0.000000000,0.080100000,0.000000000,true,none,84,0,103,3,7,0.005200000,0.002500000,0.001100000,0.006400000,0.002700000,0.000600000,0.310600000,0.011400000,0.236600000,0.008400000,0.005100000,0.115500000,0.000000000,0.000000000,0.012900000,0.719000000,0.018200000,3,1,7,7,3,0.017000000,0.001900000,0.025900000,0.009500000,0.008100000,0.004700000,true,true,0.012300000,0.021700000,0.001300000,0.003200000,0.000000000,0,103,0
604,1,1,1920,1080,640,360,ultra-performance,0.421000000,0.031200000,0.307500000,0.003600000,0.367000000,0.033400000,0.192200000,0.796300000,0.287700000,2.443000000,2.022000000,2.439900000,0.003100000,0.004200000,0.028100000,0.015400000,0.259200000,0.003100000,0.088800000,0.003600000,0.000000000,0.122300000,0.000000000,true,none,84,0,103,3,7,0.008200000,0.003800000,0.001800000,0.009500000,0.006000000,0.001400000,0.527500000,0.023600000,0.030200000,0.014200000,0.008800000,0.114900000,0.000000000,0.000000000,0.031200000,0.781100000,0.015200000,3,1,7,7,3,0.025800000,0.002800000,0.042000000,0.012500000,0.012900000,0.007500000,true,true,0.016200000,0.034200000,0.001800000,0.004400000,0.000000000,0,103,0
605,2,1,1920,1080,640,360,ultra-performance,0.111000000,0.024000000,0.180400000,0.002800000,0.240500000,0.031100000,0.119500000,0.522600000,0.150700000,1.383900000,1.272900000,1.382600000,0.001300000,0.003400000,0.018600000,0.009900000,0.148000000,0.002600000,0.051700000,0.002300000,0.000000000,0.082000000,0.000000000,true,none,84,0,103,3,7,0.004300000,0.002800000,0.001200000,0.006100000,0.002200000,0.000400000,0.333800000,0.012000000,0.052000000,0.008400000,0.004600000,0.074800000,0.000100000,0.000000000,0.012300000,0.515000000,0.007600000,3,1,7,7,3,0.017300000,0.002100000,0.027000000,0.009600000,0.008200000,0.005300000,true,true,0.012100000,0.020300000,0.001300000,0.003500000,0.000000000,0,103,0
606,0,1,1920,1080,640,360,ultra-performance,0.688200000,0.021100000,0.182200000,0.003100000,0.248400000,0.024300000,0.125600000,0.525900000,0.161600000,1.982000000,1.293800000,1.980400000,0.001600000,0.003100000,0.019100000,0.010200000,0.149500000,0.002800000,0.052800000,0.002500000,0.000000000,0.086100000,0.000000000,true,none,84,0,103,3,7,0.004400000,0.002900000,0.001300000,0.007300000,0.002600000,0.000500000,0.335000000,0.013900000,0.046100000,0.008700000,0.004300000,0.071500000,0.000100000,0.000000000,0.014600000,0.513200000,0.012700000,3,1,7,7,3,0.017600000,0.002100000,0.029000000,0.009900000,0.009200000,0.005400000,true,true,0.012700000,0.021200000,0.001400000,0.003500000,0.000000000,0,103,0
607,1,1,1920,1080,640,360,ultra-performance,0.852300000,0.019400000,0.181700000,0.003000000,0.247000000,0.024400000,0.123600000,0.631900000,0.158100000,2.242500000,1.390200000,2.241400000,0.001100000,0.003300000,0.018500000,0.010400000,0.149100000,0.002700000,0.053400000,0.002600000,0.000000000,0.086600000,0.000000000,true,none,84,0,103,3,7,0.005500000,0.002700000,0.001200000,0.007400000,0.002600000,0.000500000,0.355900000,0.012200000,0.143300000,0.007300000,0.004200000,0.065100000,0.000100000,0.000000000,0.013600000,0.621600000,0.010300000,3,1,7,7,3,0.017600000,0.002300000,0.028300000,0.009700000,0.009000000,0.005300000,true,true,0.012900000,0.020900000,0.001400000,0.003200000,0.000000000,0,103,0
608,2,1,1920,1080,640,360,ultra-performance,0.624300000,0.022700000,0.180300000,0.002900000,0.271900000,0.024800000,0.124900000,0.501800000,0.158400000,1.913400000,1.289100000,1.912000000,0.001400000,0.003100000,0.019300000,0.010400000,0.147100000,0.002700000,0.052300000,0.002500000,0.000000000,0.099400000,0.000000000,true,none,84,0,103,3,7,0.005200000,0.002800000,0.001200000,0.006900000,0.003600000,0.000700000,0.295100000,0.024800000,0.046800000,0.010000000,0.006100000,0.076400000,0.000000000,0.000000000,0.013200000,0.492800000,0.009000000,3,1,7,7,3,0.018700000,0.003600000,0.031000000,0.013100000,0.008700000,0.005700000,true,true,0.012200000,0.021900000,0.001300000,0.004200000,0.000000000,0,103,0
609,0,1,1920,1080,640,360,ultra-performance,1.031200000,0.021100000,0.180500000,0.002700000,0.240400000,0.023000000,0.121800000,0.569700000,0.166300000,2.357800000,1.326600000,2.356700000,0.001100000,0.003100000,0.018300000,0.010000000,0.148800000,0.002500000,0.053000000,0.002200000,0.000000000,0.083300000,0.000000000,true,none,84,0,103,3,7,0.004400000,0.002600000,0.001400000,0.006500000,0.002300000,0.000700000,0.305600000,0.012400000,0.138300000,0.008100000,0.004400000,0.060500000,0.000100000,0.000000000,0.012600000,0.559900000,0.009800000,3,1,7,7,3,0.017400000,0.002200000,0.027100000,0.009500000,0.008500000,0.005400000,true,true,0.012000000,0.020400000,0.001400000,0.003800000,0.000000000,0,103,0
